file_path,ground_truth,checkpoint_pred,transformer_v2_pred,tesseract_pred,checkpoint_wer,transformer_v2_wer,tesseract_wer,checkpoint_cer,transformer_v2_cer,tesseract_cer
/home/jasroop.dhindsa/token-ocr-eval/finetune_v1/gradual/new_evaluation_blur/2280.jpg,philosophy dont,phécussions,responsibility deal,,1,1,1,0.6667,0.7368,1
/home/jasroop.dhindsa/token-ocr-eval/finetune_v1/gradual/new_evaluation_blur/1034.jpg,severity,severity,identify,,0,1,1,0,0.75,1
/home/jasroop.dhindsa/token-ocr-eval/finetune_v1/gradual/new_evaluation_blur/2457.jpg,mise ber,misseBor,miss boy,,1,1,1,0.5,0.375,1
/home/jasroop.dhindsa/token-ocr-eval/finetune_v1/gradual/new_evaluation_blur/1961.jpg,Rey,Rey,they,,0,1,1,0,0.5,1
/home/jasroop.dhindsa/token-ocr-eval/finetune_v1/gradual/new_evaluation_blur/1365.jpg,ellent,ellent,different,,0,1,1,0,0.6667,1
/home/jasroop.dhindsa/token-ocr-eval/finetune_v1/gradual/new_evaluation_blur/3740.jpg,quand,deved,future,,1,1,1,0.8,0.8333,1
/home/jasroop.dhindsa/token-ocr-eval/finetune_v1/gradual/new_evaluation_blur/106.jpg,foundations fine,foundationsfine,knowledge line,,1,1,1,0.0625,0.6875,1
/home/jasroop.dhindsa/token-ocr-eval/finetune_v1/gradual/new_evaluation_blur/1521.jpg,Asc,Asc,it also,,0,1,1,0,0.8571,1
/home/jasroop.dhindsa/token-ocr-eval/finetune_v1/gradual/new_evaluation_blur/936.jpg,res,res,message remember run run run,,0,1,1,0,0.9286,1
/home/jasroop.dhindsa/token-ocr-eval/finetune_v1/gradual/new_evaluation_blur/322.jpg,Nintendo gent,Hinterchesens,themselves some,,1,1,1,0.5385,0.8667,1
/home/jasroop.dhindsa/token-ocr-eval/finetune_v1/gradual/new_evaluation_blur/109.jpg,ifest,ifest,I,,0,1,1,0,1,1
/home/jasroop.dhindsa/token-ocr-eval/finetune_v1/gradual/new_evaluation_blur/2506.jpg,productive,productive,shoulder,,0,1,1,0,0.8,1
